trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999755001000415}",30,0,-99.05284566644964,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9999020016006562}",25,0,-196.33075403448166,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.9997795081032559}",25,0,-137.49657789023436,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.9996080256099974}",20,0,-125.7904564696352,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9993875625234886}",30,3,-83.22099554239205,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.9991181296463766}",30,0,-126.07496411540977,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9987997401808185}",20,0,-119.01114880595617,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9984324097278344}",25,0,-73.42104734133028,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9980161562865429}",20,0,-54.08631216088011,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9975510002532796}",20,0,-153.28144779794283,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9970369644205967}",30,0,-175.25737506159513,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9964740739761475}",20,0,-91.44303196641152,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9958623565014509}",20,9,-45.612044626126085,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.995201841970541}",20,0,-54.060766673455795,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9944925627484974}",20,0,-204.42492943763392,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
16,False,"{'a': 0.8, 'e': 0.9937345535898603}",35,0,-340.9721569802332,"{0: 12, 1: 7, 2: 11, 3: 0, 4: 5}",0
17,False,"{'a': 0.8, 'e': 0.9929278516369265}",20,0,-148.26207626720227,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9920724964179307}",25,0,-262.6100689403384,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
19,False,"{'a': 0.8, 'e': 0.9911685298451072}",30,0,-85.2726157845632,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.9902159962126371}",35,0,-102.33904553927381,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.9892149421944781}",20,0,-154.94175441155068,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.9881654168420767}",20,0,-28.441206446180363,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.9870674715819652}",25,2,-93.64843262850059,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 1}",1
24,False,"{'a': 0.8, 'e': 0.9859211602132415}",25,0,-92.99195318968717,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.9847265389049334}",20,0,-119.3388780946323,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.9834836661932461}",25,0,-95.89164991819283,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.9821926029786937}",30,0,-145.17971653312318,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.8, 'e': 0.9808534125231153}",20,0,-145.29905935189228,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.9794661604465754}",30,0,-208.16252138642253,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.9780309147241483}",30,0,-137.86822932360695,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
31,False,"{'a': 0.8, 'e': 0.976547745682587}",20,0,-98.76287076354917,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.9750167259968777}",25,0,-70.44316313200424,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.9734379306866789}",25,0,-76.94653538720563,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.971811437112645}",30,0,-121.42182696542731,"{0: 15, 1: 6, 2: 7, 3: 2, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.9701373249726354}",30,0,-182.92937950986348,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
36,False,"{'a': 0.8, 'e': 0.9684156762978101}",20,13,-83.65343147760416,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 2}",1
37,False,"{'a': 0.8, 'e': 0.9666465754486098}",35,0,-143.60149612578317,"{0: 22, 1: 7, 2: 3, 3: 1, 4: 2}",0
38,False,"{'a': 0.8, 'e': 0.9648301091106221}",25,0,-167.89713090899366,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.8, 'e': 0.962966366290334}",25,0,-161.2655780135121,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
40,False,"{'a': 0.8, 'e': 0.9610554383107709}",20,0,-72.3739606956951,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.9590974188070215}",25,0,-41.944186002226374,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.9570924037216496}",25,0,-125.79202269317713,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.9550404912999932}",20,0,-64.06637254776413,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.9529417820853506}",25,13,-19.585280862955756,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.9507963789140532}",20,1,-181.70810203359432,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 3}",1
46,False,"{'a': 0.8, 'e': 0.9486043869104273}",20,0,-170.58288717581615,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
47,False,"{'a': 0.8, 'e': 0.9463659134816423}",20,0,-129.55357934211702,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.8, 'e': 0.9440810683124485}",20,0,-90.07745545105914,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.8, 'e': 0.941749963359802}",20,1,-28.46070298227033,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.9393727128473789}",20,0,-56.463125302267265,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.9369494332599789}",20,0,-38.35709846473886,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.9344802433378168}",25,0,-182.79151404068017,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
53,False,"{'a': 0.8, 'e': 0.9319652640707048}",25,0,-169.59151986217088,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.9294046186921237}",20,10,-60.192996989481955,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.8, 'e': 0.9267984326731847}",25,0,-139.50761725484946,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.8, 'e': 0.9241468337164814}",20,0,-109.06899984237222,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.921449951749832}",20,0,-186.0751875936647,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
58,False,"{'a': 0.8, 'e': 0.9187079189199134}",25,0,-65.20241763838352,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.9159208695857856}",20,0,-104.77851083895995,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
60,False,"{'a': 0.8, 'e': 0.9130889403123083}",25,0,-232.90713746416134,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
61,False,"{'a': 0.8, 'e': 0.9102122698634492}",20,0,-32.252389266537406,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.9072909991954848}",20,0,-111.4882292567878,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.8, 'e': 0.9043252714500934}",25,0,-54.05607383843504,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.9013152319473411}",25,0,-88.64973167359545,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.8, 'e': 0.8982610281785611}",25,0,-56.49291891144852,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.8951628097991272}",20,0,-155.59747051598112,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
67,False,"{'a': 0.8, 'e': 0.89202072862112}",20,0,-134.30178738679294,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
68,False,"{'a': 0.8, 'e': 0.8888349386058886}",20,0,-84.42361288819119,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.8, 'e': 0.8856055958565062}",20,14,-1.918350746961135,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.8823328586101215}",25,0,-58.00273664276055,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.8, 'e': 0.8790168872302047}",20,0,-54.82404414495956,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.87565784419869}",30,0,-151.54614182683676,"{0: 16, 1: 8, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.8, 'e': 0.8722558941080137}",30,10,-96.95684014040971,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",1
74,False,"{'a': 0.8, 'e': 0.8688112036530499}",20,0,-80.83789306203252,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.8, 'e': 0.8653239416229412}",30,17,-78.28883001823608,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
76,False,"{'a': 0.8, 'e': 0.8617942788928298}",25,0,-245.36281873643955,"{0: 10, 1: 3, 2: 6, 3: 3, 4: 3}",0
77,False,"{'a': 0.8, 'e': 0.8582223884154829}",30,0,-144.50509842042499,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.8, 'e': 0.8546084452128195}",25,4,-34.58949026504663,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.8, 'e': 0.8509526263673333}",30,0,-82.7236554380456,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.8472551110134161}",35,0,-155.86350379084564,"{0: 22, 1: 2, 2: 7, 3: 3, 4: 1}",0
81,False,"{'a': 0.8, 'e': 0.8435160803285807}",20,0,-111.66104455456752,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
82,False,"{'a': 0.8, 'e': 0.8397357175245824}",30,0,-118.77710652800126,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
83,False,"{'a': 0.8, 'e': 0.8359142078384423}",30,0,-56.030778854831986,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.8320517385233703}",30,12,-29.60847693983973,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.8281484988395901}",20,0,-69.9659813642774,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.8, 'e': 0.8242046800450651}",30,0,-65.74896823745902,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
