trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.54204390738897,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.47420945587673,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.77094061642609,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.02419823372871,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.10218228735721,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.04663985951847,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,11,-31.103281393726334,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.1201310047385,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,10,-43.21980402623241,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,2,-90.08409003023769,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.58091658784937,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-255.66848198785962,"{0: 13, 1: 3, 2: 8, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-81.16054639002135,"{0: 21, 1: 7, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.10960300557605,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.7081489498286,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.19988518759762,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.87029090527128,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,5,-24.542243307959325,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.07940440064,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.22539300243037,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.90534316090489,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.29260864824982,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.32125811580397,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,8,-39.61004206683409,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.68897328019412,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.8473822290141,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-250.250313185938,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.12695353472661,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.7403831013264,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.98969185156758,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
